Shortcode,Domainstr,Description,Location
DE_50HZ,10YDE-VE-------2,50HertzCA/DE(50HzT)BZA,Europe/Berlin
AL,10YAL-KESH-----5,Albania/OSTBZ/CA/MBA,Europe/Tirane
DE_AMPRION,10YDE-RWENET---I,AmprionCA,Europe/Berlin
AT,10YAT-APG------L,Austria/APGBZ/CA/MBA,Europe/Vienna
BY,10Y1001A1001A51S,BelarusBZ/CA/MBA,Europe/Minsk
BE,10YBE----------2,Belgium/EliaBZ/CA/MBA,Europe/Brussels
BA,10YBA-JPCC-----D,BosniaHerzegovina/NOSBiHBZ/CA/MBA,Europe/Sarajevo
BG,10YCA-BULGARIA-R,Bulgaria/ESOBZ/CA/MBA,Europe/Sofia
CZ_DE_SK,10YDOM-CZ-DE-SKK,BZCZ+DE+SKBZ/BZA,Europe/Prague
HR,10YHR-HEP------M,Croatia/HOPSBZ/CA/MBA,Europe/Zagreb
CWE,10YDOM-REGION-1V,CWERegion,Europe/Brussels
CY,10YCY-1001A0003J,Cyprus/CyprusTSOBZ/CA/MBA,Asia/Nicosia
CZ,10YCZ-CEPS-----N,CzechRepublic/CEPSBZ/CA/MBA,Europe/Prague
DE_AT_LU,10Y1001A1001A63L,DE-AT-LUBZ,Europe/Berlin
DE_LU,10Y1001A1001A82H,DE-LUBZ/MBA,Europe/Berlin
DK,10Y1001A1001A65H,Denmark,Europe/Copenhagen
DK_1,10YDK-1--------W,DK1BZ/MBA,Europe/Copenhagen
DK_2,10YDK-2--------M,DK2BZ/MBA,Europe/Copenhagen
DK_CA,10Y1001A1001A796,Denmark/EnerginetCA,Europe/Copenhagen
EE,10Y1001A1001A39I,Estonia/EleringBZ/CA/MBA,Europe/Tallinn
FI,10YFI-1--------U,Finland/FingridBZ/CA/MBA,Europe/Helsinki
MK,10YMK-MEPSO----8,FormerYugoslavRepublicofMacedonia/MEPSOBZ/CA/MBA,Europe/Skopje
FR,10YFR-RTE------C,France/RTEBZ/CA/MBA,Europe/Paris
DE,10Y1001A1001A83F,Germany,Europe/Berlin
GR,10YGR-HTSO-----Y,Greece/IPTOBZ/CA/MBA,Europe/Athens
HU,10YHU-MAVIR----U,Hungary/MAVIRCA/BZ/MBA,Europe/Budapest
IS,IS,Iceland,Atlantic/Reykjavik
IE_SEM,10Y1001A1001A59C,Ireland(SEM)BZ/MBA,Europe/Dublin
IE,10YIE-1001A00010,Ireland/EirGridCA,Europe/Dublin
IT,10YIT-GRTN-----B,Italy/ITCA/MBA,Europe/Rome
IT_SACO_AC,10Y1001A1001A885,Italy_Saco_AC,Europe/Rome
IT_CALA,10Y1001C--00096J,IT-CalabriaBZ,Europe/Rome
IT_SACO_DC,10Y1001A1001A893,Italy_Saco_DC,Europe/Rome
IT_BRNN,10Y1001A1001A699,IT-BrindisiBZ,Europe/Rome
IT_CNOR,10Y1001A1001A70O,IT-Centre-NorthBZ,Europe/Rome
IT_CSUD,10Y1001A1001A71M,IT-Centre-SouthBZ,Europe/Rome
IT_FOGN,10Y1001A1001A72K,IT-FoggiaBZ,Europe/Rome
IT_GR,10Y1001A1001A66F,IT-GRBZ,Europe/Rome
IT_MACRO_NORTH,10Y1001A1001A84D,IT-MACROZONENORTHMBA,Europe/Rome
IT_MACRO_SOUTH,10Y1001A1001A85B,IT-MACROZONESOUTHMBA,Europe/Rome
IT_MALTA,10Y1001A1001A877,IT-MaltaBZ,Europe/Rome
IT_NORD,10Y1001A1001A73I,IT-NorthBZ,Europe/Rome
IT_NORD_AT,10Y1001A1001A80L,IT-North-ATBZ,Europe/Rome
IT_NORD_CH,10Y1001A1001A68B,IT-North-CHBZ,Europe/Rome
IT_NORD_FR,10Y1001A1001A81J,IT-North-FRBZ,Europe/Rome
IT_NORD_SI,10Y1001A1001A67D,IT-North-SIBZ,Europe/Rome
IT_PRGP,10Y1001A1001A76C,IT-PrioloBZ,Europe/Rome
IT_ROSN,10Y1001A1001A77A,IT-RossanoBZ,Europe/Rome
IT_SARD,10Y1001A1001A74G,IT-SardiniaBZ,Europe/Rome
IT_SICI,10Y1001A1001A75E,IT-SicilyBZ,Europe/Rome
IT_SUD,10Y1001A1001A788,IT-SouthBZ,Europe/Rome
RU_KGD,10Y1001A1001A50U,KaliningradBZ/CA/MBA,Europe/Kaliningrad
LV,10YLV-1001A00074,Latvia/ASTBZ/CA/MBA,Europe/Riga
LT,10YLT-1001A0008Q,Lithuania/LitgridBZ/CA/MBA,Europe/Vilnius
LU,10YLU-CEGEDEL-NQ,Luxembourg/CREOSCA,Europe/Luxembourg
MT,10Y1001A1001A93C,Malta/MaltaBZ/CA/MBA,Europe/Malta
ME,10YCS-CG-TSO---S,Montenegro/CGESBZ/CA/MBA,Europe/Podgorica
GB,10YGB----------A,NationalGridBZ/CA/MBA,Europe/London
GB_IFA,10Y1001C--00098F,GB(IFA)BZN,Europe/London
GB_IFA2,17Y0000009369493,GB(IFA2)BZ,Europe/London
GB_ELECLINK,11Y0-0000-0265-K,GB(ElecLink)BZN,Europe/London
UK,10Y1001A1001A92E,UnitedKingdom,Europe/London
NL,10YNL----------L,Netherlands/TenneTNLBZ/CA/MBA,Europe/Amsterdam
NO_1,10YNO-1--------2,NO1BZ/MBA,Europe/Oslo
NO_2,10YNO-2--------T,NO2BZ/MBA,Europe/Oslo
NO_2_NSL,50Y0JVU59B4JWQCU,NO2NSLBZ/MBA,Europe/Oslo
NO_3,10YNO-3--------J,NO3BZ/MBA,Europe/Oslo
NO_4,10YNO-4--------9,NO4BZ/MBA,Europe/Oslo
NO_5,10Y1001A1001A48H,NO5BZ/MBA,Europe/Oslo
NO,10YNO-0--------C,Norway/NorwayMBA/StattnetCA,Europe/Oslo
PL_CZ,10YDOM-1001A082L,PL-CZBZA/CA,Europe/Warsaw
PL,10YPL-AREA-----S,Poland/PSESABZ/BZA/CA/MBA,Europe/Warsaw
PT,10YPT-REN------W,Portugal/RENBZ/CA/MBA,Europe/Lisbon
MD,10Y1001A1001A990,RepublicofMoldova/MoldelecticaBZ/CA/MBA,Europe/Chisinau
RO,10YRO-TEL------P,Romania/TranselectricaBZ/CA/MBA,Europe/Bucharest
RU,10Y1001A1001A49F,RussiaBZ/CA/MBA,Europe/Moscow
SE_1,10Y1001A1001A44P,SE1BZ/MBA,Europe/Stockholm
SE_2,10Y1001A1001A45N,SE2BZ/MBA,Europe/Stockholm
SE_3,10Y1001A1001A46L,SE3BZ/MBA,Europe/Stockholm
SE_4,10Y1001A1001A47J,SE4BZ/MBA,Europe/Stockholm
RS,10YCS-SERBIATSOV,Serbia/EMSBZ/CA/MBA,Europe/Belgrade
SK,10YSK-SEPS-----K,Slovakia/SEPSBZ/CA/MBA,Europe/Bratislava
SI,10YSI-ELES-----O,Slovenia/ELESBZ/CA/MBA,Europe/Ljubljana
GB_NIR,10Y1001A1001A016,NorthernIreland/SONICA,Europe/Belfast
ES,10YES-REE------0,Spain/REEBZ/CA/MBA,Europe/Madrid
SE,10YSE-1--------K,Sweden/SwedenMBA/SvKCA,Europe/Stockholm
CH,10YCH-SWISSGRIDZ,Switzerland/SwissgridBZ/CA/MBA,Europe/Zurich
DE_TENNET,10YDE-EON------1,TenneTGERCA,Europe/Berlin
DE_TRANSNET,10YDE-ENBW-----N,TransnetBWCA,Europe/Berlin
TR,10YTR-TEIAS----W,TurkeyBZ/CA/MBA,Europe/Istanbul
UA,10Y1001C--00003F,Ukraine/UkraineBZ/MBA,Europe/Kiev
UA_DOBTPP,10Y1001A1001A869,Ukraine-DobTPPCTA,Europe/Kiev
UA_BEI,10YUA-WEPS-----0,UkraineBEICTA,Europe/Kiev
UA_IPS,10Y1001C--000182,UkraineIPSCTA,Europe/Kiev
XK,10Y1001C--00100H,Kosovo/XKCA/XKBZN,Europe/Rome